BUKRS,BELNR,SAP_VENDOR_ID,WRBTR,MWSKZ,BLDAT,ZFBDT,ZLSCH,AUGDT,PAYMENT_STATUS_RAW,WAERS
NXS,SAP-2026-00031,SAP_V006,25211.95,TX20,20260202,20260202,T,20260223,PENDING,EUR
NXS,SAP-2026-00032,SAP_V005,44291.82,TX5,20260228,20260117,T,20260118,BLOCKED,EUR
NXS,SAP-2026-00033,SAP_V003,32321.17,TX20,20260224,20260109,T,20260103,CANCELLED,EUR
NXS,SAP-2026-00034,SAP_V004,7572.14,TX0,20260203,20260301,T,20260101,PENDING,EUR
NXS,SAP-2026-00035,SAP_V006,7411.7,TX5,20260111,20260123,T,20260122,PAID,EUR
NXS,SAP-2026-00036,SAP_V002,37376.95,TX20,20260104,20260226,T,20260219,PENDING,EUR
NXS,SAP-2026-00037,SAP_V002,27179.38,TX20,20260202,20260105,T,20260109,PENDING,EUR
NXS,SAP-2026-00038,SAP_V007,37477.18,TX0,20260106,20260226,T,20260210,BLOCKED,EUR
NXS,SAP-2026-00039,SAP_V002,21707.47,TX5,20260224,20260116,T,20260117,PAID,EUR
NXS,SAP-2026-00040,SAP_V006,29384.88,TX0,20260112,20260124,T,20260111,PENDING,EUR
NXS,SAP-2026-00041,SAP_V006,18418.82,TX5,20260105,20260119,T,20260217,BLOCKED,EUR
NXS,SAP-2026-00042,SAP_V010,49867.63,TX5,20260208,20260111,T,20260129,BLOCKED,EUR
NXS,SAP-2026-00043,SAP_V005,7347.42,TX10,20260105,20260129,T,20260205,PAID,EUR
NXS,SAP-2026-00044,SAP_V001,24929.03,TX20,20260213,20260223,T,20260215,PENDING,EUR
NXS,SAP-2026-00045,SAP_V008,37911.22,TX20,20260225,20260204,T,20260128,CANCELLED,EUR
NXS,SAP-2026-00046,SAP_V009,43124.59,TX10,20260116,20260215,T,20260205,CANCELLED,EUR
NXS,SAP-2026-00047,SAP_V002,8065.65,TX0,20260126,20260120,T,20260101,PAID,EUR
NXS,SAP-2026-00048,SAP_V007,8419.11,TX10,20260108,20260209,T,20260108,PAID,EUR
NXS,SAP-2026-00049,SAP_V002,34183.82,TX20,20260302,20260221,T,20260105,PENDING,EUR
NXS,SAP-2026-00050,SAP_V009,30022.25,TX20,20260226,20260211,T,20260302,CANCELLED,EUR
NXS,SAP-2026-00051,SAP_V005,19545.98,TX10,20260206,20260203,T,20260226,PAID,EUR
NXS,SAP-2026-00052,SAP_V010,29996.48,TX10,20260116,20260101,T,20260214,PENDING,EUR
NXS,SAP-2026-00053,SAP_V006,23668.47,TX10,20260207,20260212,T,20260227,CANCELLED,EUR
NXS,SAP-2026-00054,SAP_V010,12945.0,TX20,20260208,20260222,T,20260110,PENDING,EUR
NXS,SAP-2026-00055,SAP_V004,27884.68,TX10,20260103,20260205,T,20260204,BLOCKED,EUR
NXS,SAP-2026-00056,SAP_V002,47150.33,TX10,20260209,20260120,T,20260103,PAID,EUR
NXS,SAP-2026-00057,SAP_V001,34174.03,TX0,20260106,20260301,T,20260223,PENDING,EUR
NXS,SAP-2026-00058,SAP_V004,6170.31,TX10,20260127,20260212,T,20260124,PAID,EUR
NXS,SAP-2026-00059,SAP_V005,44297.03,TX20,20260212,20260107,T,20260207,PENDING,EUR
NXS,SAP-2026-00060,SAP_V002,37668.45,TX0,20260207,20260302,T,20260205,BLOCKED,EUR
